,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
31237,54004625,"✿ 24/7 Check in CrashPad, Right Next To Subway",392567584,Gurj,Brooklyn,Bedford-Stuyvesant,40.68758,-73.95923,Shared room,35,15,5,2022-05-31,0.77,12,357,5,,11238
31245,54058732,Remarkable 2 bedroom 2 bath condo - A+ Amenities,38645516,Craig,Brooklyn,Bedford-Stuyvesant,40.68894,-73.95718,Entire home/apt,293,14,3,2022-08-07,0.69,1,304,3,,11205
31247,54129391,Spacious 4 Bedroom 1 bath home in Brooklyn,20178795,Asha,Brooklyn,Flatbush,40.64185,-73.9537,Entire home/apt,219,2,20,2022-08-20,3.73,1,256,20,,11226
31253,54006083,Spacious 2 bedroom apt in Brooklyn Heights,437585966,Antoine,Brooklyn,Brooklyn Heights,40.69575,-73.99411,Entire home/apt,358,3,5,2022-07-23,0.6,1,25,5,,11201
31255,54006365,NICE 2 BEDROOMS IN BROOKLYN DYKER HEIGHTS,148993903,Tina,Brooklyn,Dyker Heights,40.62584,-74.00819,Entire home/apt,150,3,16,2022-08-20,3.24,2,350,16,,11228
31258,54012192,Large Studio in a Brownstone Beauty,74885349,Kimberly,Brooklyn,Bedford-Stuyvesant,40.683243,-73.945663,Entire home/apt,126,2,35,2022-08-21,4.2,6,270,35,,11216
31260,54013154,Charming 2-bedroom Brownstone unit in Brooklyn,360586882,Yanique,Brooklyn,Bedford-Stuyvesant,40.68633,-73.94677,Entire home/apt,185,2,20,2022-08-21,3.37,1,300,20,,11216
31278,54138988,Comfy quiet 1-BR apt in the heart of Williamsburg!,3363555,Alejandro,Brooklyn,Williamsburg,40.7146,-73.96071,Entire home/apt,195,4,5,2022-09-05,1.49,1,23,5,,11211
31287,54164726,Entire Apartment Sweet Home Sweet in Flatbush,69469129,Cesar,Brooklyn,Flatbush,40.65211,-73.96429,Private room,135,30,0,,,2,341,0,,11226
31290,54142171,Stunning 2 bed Apt in Williamsburg. Amazing views,65178149,Jonathan,Brooklyn,Williamsburg,40.71586,-73.96424,Entire home/apt,429,4,8,2022-08-25,1.0,1,21,8,,11249
31291,54165294,Gorgeous 2-level Penthouse w/ 2 private terraces!,13031522,Imani,Brooklyn,Clinton Hill,40.68167,-73.95894,Entire home/apt,375,2,13,2022-05-22,1.92,1,0,13,,11207
31295,54142967,Fresh crib of Bedstuy.,12248031,Christopher,Brooklyn,Bedford-Stuyvesant,40.68783,-73.9446,Private room,85,4,6,2022-07-25,0.9,2,0,6,,11221
31296,54167112,Lovely studio apartment steps from Ft Greene Park,125598078,Ian,Brooklyn,Fort Greene,40.69006,-73.97348,Entire home/apt,119,29,4,2022-08-14,0.63,1,265,4,,11205
31297,54143211,Entire Artsy Brooklyn Getaway- TV+Wifi+Gym+Laundry,65611806,Shay,Brooklyn,Bushwick,40.69969,-73.92859,Entire home/apt,311,1,5,2022-08-28,1.06,4,317,5,,11221
31299,54144435,Luxurious Condo with a Private Backyard,13488265,Ahmet,Brooklyn,Williamsburg,40.71814,-73.95484,Entire home/apt,490,30,1,2022-01-24,0.13,1,168,1,,11211
31303,54066674,Your Lovely  Getaway,351734350,Ray,Brooklyn,Bedford-Stuyvesant,40.69368,-73.9322,Entire home/apt,121,1,53,2022-07-30,6.68,1,157,53,,11221
31304,54144617,Quiet & Private room to stay in Brooklyn NYC,429454632,Carol,Brooklyn,Prospect-Lefferts Gardens,40.66217,-73.94283,Private room,73,1,12,2022-08-09,1.49,17,360,12,,11203
31305,54144647,Lovely and Cozy private room near Prospect park,429454632,Carol,Brooklyn,Prospect-Lefferts Gardens,40.66203,-73.94274,Private room,65,1,11,2022-08-22,1.38,17,355,11,,11203
31306,54144790,Lovely 1-bedroom sanctuary w/ office—location!,33998591,Hilary,Brooklyn,Park Slope,40.68425,-73.97829,Entire home/apt,114,1,0,,,1,0,0,,11209
31307,54067291,Lovely Garden One Bedroom Apartment,28460706,Roger,Brooklyn,Bedford-Stuyvesant,40.67838,-73.91213,Entire home/apt,80,30,3,2022-06-30,0.46,1,57,3,,11207
31311,54144941,*NEW* Private Room near Prospect Park Brooklyn,429454632,Carol,Brooklyn,Prospect-Lefferts Gardens,40.66066,-73.94105,Private room,72,1,11,2022-08-06,1.37,17,344,11,,11203
31312,54146038,Lovely spacious 1-Bedroom apartment in Brooklyn,397099903,Elisabeth,Brooklyn,Flatbush,40.64832,-73.96182,Entire home/apt,151,2,3,2022-09-04,0.39,1,324,3,,11226
31315,54146364,Hermoso apartamento en el centro de williamsburg,230403448,Francisco,Brooklyn,Williamsburg,40.71089,-73.96184,Entire home/apt,110,30,2,2022-08-15,0.3,4,308,2,,11211
31316,54148158,Clean Quite Place,438618089,Bennett,Brooklyn,Flatlands,40.62345,-73.92139,Private room,95,1,1,2022-06-13,0.34,1,362,1,,11234
31319,54169063,"Spacious 1-Bedroom King Bed, W/D in Unit,& Rooftop",396660174,Bernice,Brooklyn,Bushwick,40.70089,-73.93388,Entire home/apt,150,28,0,,,1,47,0,,11206
31322,54173093,Lovely Two Bedroom Plus Office in Brooklyn,69798076,Alejandro Bilbao,Brooklyn,Flatbush,40.65391,-73.96002,Entire home/apt,165,37,9,2022-06-12,1.97,1,157,9,,11226
31326,54160247,Private Extra Large Room King Size Bed,168619140,Terry,Brooklyn,Canarsie,40.63761,-73.91589,Private room,140,2,2,2022-05-15,0.28,4,20,2,,11236
31329,54173218,"Spacious, light-filled artist apartment",17599413,Manon,Brooklyn,Greenpoint,40.73595973825362,-73.95851130117987,Entire home/apt,275,3,1,2022-07-11,0.51,1,219,1,,11222
31330,54178055,Private Room With Full Size Bed #2,168619140,Terry,Brooklyn,Canarsie,40.63769,-73.91544,Private room,115,2,1,2022-05-22,0.27,4,0,1,,11236
31331,54178217,Private Room Full size Bed #3,168619140,Terry,Brooklyn,Canarsie,40.63955,-73.91532,Private room,90,2,2,2022-06-06,0.57,4,0,2,,11236
31335,54068602,Large Bedroom with Private Bath in East Flatbush,438207643,Stephon,Brooklyn,East Flatbush,40.64863,-73.92921,Private room,50,30,4,2022-08-15,0.57,3,311,4,,11203
31338,54179299,Private cozy bedroom with loft bed,314714,Leah,Brooklyn,Crown Heights,40.66466,-73.94086,Private room,79,1,1,2022-02-27,0.16,1,338,1,,11213
31343,54229084,"Martine'sCorner 
2 bedrooms 
Experience Greatness.",4633085,Martine,Brooklyn,Flatlands,40.6206,-73.93302,Private room,121,3,2,2022-05-30,0.5,2,333,2,,11234
31344,54229216,"HUGE 2-story 1BR with private patio, Pet Friendly",21336090,Corban,Brooklyn,Bedford-Stuyvesant,40.695,-73.94761,Entire home/apt,95,4,2,2022-03-06,0.29,1,0,2,,11206
31345,54229825,⭐️ Brownstone with private backyard+Hot tub!🔥,420088913,Hershey,Brooklyn,Bedford-Stuyvesant,40.69609,-73.94497,Entire home/apt,446,2,43,2022-09-04,5.54,13,299,43,,11206
31348,54180355,Williamsburg Spacious Private Bedroom & Bathroom,5710183,Brenda,Brooklyn,Williamsburg,40.70834,-73.9467,Private room,179,1,21,2022-08-21,2.94,1,90,21,,11206
31357,54069886,1 bedroom nice quite lower level apartment,438045606,Honore,Brooklyn,Flatlands,40.62889,-73.92946,Private room,60,2,17,2022-07-31,3.95,1,321,17,,11234
31358,54232734,Comfy & Chic 3 bedrm 2FL APT (10 mins to JFK!),425034221,Kimberley,Brooklyn,East New York,40.66253,-73.86126,Entire home/apt,175,2,7,2022-08-29,1.11,4,277,7,,11208
31360,54238053,King-Sized 1br in Clinton Hill brownstone,44119494,Noma,Brooklyn,Clinton Hill,40.68203,-73.96318,Entire home/apt,243,2,27,2022-08-28,4.18,1,92,27,,11238
31361,54238063,Event space in Brooklyn NY,383943141,Tramaine,Brooklyn,Brownsville,40.67144,-73.90553,Entire home/apt,500,1,2,2022-05-16,0.35,1,365,2,,11212
