,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
1964,2508374,Cozy 1br mins from Casino Jfk & Nyc,8552126,Claudius,Queens,Jamaica,40.67111,-73.76824,Entire home/apt,150,7,149,2019-09-30,1.45,2,364,0,,
1972,2510394,"HUGE LUXURY 2BD/2B, 7mn TO TIME SQR",12851900,Dominique,Queens,Long Island City,40.74269,-73.95728,Entire home/apt,395,30,58,2021-08-18,0.57,1,320,0,,
1976,2513351,Bright and Open Astoria Apartment!,12864943,Tegan,Queens,Astoria,40.76582,-73.92871,Private room,70,30,1,2015-04-06,0.01,2,0,0,,
1978,2515634,Private master bedroom in a duplex,12027050,Dan,Queens,Woodside,40.74578,-73.89827,Private room,79,30,3,2020-01-01,0.06,1,0,0,,
1984,2516430,Lg Private Rm 10mins to Manhattan,10440985,Jimmy,Queens,Astoria,40.75683,-73.91283,Private room,50,30,1,2016-07-31,0.01,1,0,0,,
1989,2727166,Cozy Room by Kaufman Studios,136352,Fotis,Queens,Astoria,40.75631,-73.92321,Private room,70,7,45,2022-05-30,0.44,1,327,3,,
1997,2519770,2-3 bedroom apt in Astoria NYC,12899510,Solange,Queens,Ditmars Steinway,40.77603,-73.918,Entire home/apt,150,30,1,2014-08-28,0.01,1,0,0,,
2019,2739577,Current Location,12082653,Taylor,Queens,Long Island City,40.76261,-73.94082,Entire home/apt,225,30,1,2014-05-29,0.01,1,0,0,,
2028,2578731,Spacious Modern 2BD Apartment,13207016,Jessica,Queens,Rockaway Beach,40.58474,-73.81319,Entire home/apt,140,30,14,2014-10-31,0.14,1,14,0,,
2053,2909117,One Double Bed for Two People,14046864,Arnulfo,Queens,Richmond Hill,40.693348,-73.824554,Entire home/apt,60,30,20,2022-08-06,0.2,1,243,4,,
2064,2601464,Your Perfect NYC Apartment!,13322744,Ana-Maria,Queens,Sunnyside,40.74341,-73.92158,Entire home/apt,149,30,18,2017-11-22,0.18,1,0,0,,
2067,2919062,Spacious 1 Bedroom in LIC,14906518,Michael,Queens,Long Island City,40.7491,-73.94815,Entire home/apt,119,30,2,2016-10-03,0.03,1,0,0,,
2097,2637533,Super-Spacious Studio Suite w Adjoining Sunroom,2687435,Abby & Kurt,Queens,Ditmars Steinway,40.77703,-73.91756,Entire home/apt,83,2,57,2020-03-16,1.22,1,0,0,,
2101,2939670,"Bright Room Near JFK ,LGA &  Train with AC",15009272,Yolanda,Queens,Woodhaven,40.69439,-73.86454,Private room,37,30,90,2022-06-03,0.9,3,201,1,,
2105,2649068,Beautiful room minutes to Manhattan,13561853,Olivera,Queens,Sunnyside,40.74021,-73.92265,Private room,60,30,50,2019-11-05,0.5,2,5,0,,
2114,2942129,"Bright Large  Room near JFK, LGA & Train 2 beds",15009272,Yolanda,Queens,Woodhaven,40.69412,-73.86265,Private room,44,30,145,2019-10-15,1.45,3,218,0,,
2116,2947668,Location  Queen Elena,3250450,Petya,Queens,Maspeth,40.73931,-73.89989,Private room,39,30,8,2022-08-21,0.21,18,318,3,,
2131,2803944,Lovely Private Bedroom in 2BR Apt,3181226,Emily,Queens,Woodside,40.74382,-73.90299,Private room,55,30,1,2015-09-05,0.01,1,0,0,,
