Latitude: 40.83971822195723, Longitude: -73.91056125446666

Latitude: 40.87647, Longitude: -73.86468

Latitude: 40.88756, Longitude: -73.90338

Latitude: 40.86814, Longitude: -73.8449

Latitude: 40.8245, Longitude: -73.91501

Latitude: 40.88445, Longitude: -73.86196

Latitude: 40.84496, Longitude: -73.86675

Latitude: 40.86899, Longitude: -73.88815

Latitude: 40.86627, Longitude: -73.88665

Latitude: 40.85686, Longitude: -73.85765

Latitude: 40.86579, Longitude: -73.88693

Latitude: 40.84524, Longitude: -73.90798

Latitude: 40.8987, Longitude: -73.84471

Latitude: 40.89681, Longitude: -73.85808

Latitude: 40.84889, Longitude: -73.90293

Latitude: 40.81132, Longitude: -73.92177

Latitude: 40.89004, Longitude: -73.84259

Latitude: 40.88463, Longitude: -73.90437

Latitude: 40.8249, Longitude: -73.90695

Latitude: 40.80922, Longitude: -73.85069

Latitude: 40.81861, Longitude: -73.91587

Latitude: 40.85717, Longitude: -73.89388

Latitude: 40.83782, Longitude: -73.78332

Latitude: 40.84406, Longitude: -73.91108

Latitude: 40.83738, Longitude: -73.83535

Latitude: 40.83763, Longitude: -73.83511

Latitude: 40.83606, Longitude: -73.83504

Latitude: 40.89552, Longitude: -73.85681

Latitude: 40.89429, Longitude: -73.85867

Latitude: 40.8634, Longitude: -73.84741

Latitude: 40.81767, Longitude: -73.8899

Latitude: 40.81767, Longitude: -73.8899

Latitude: 40.82639, Longitude: -73.87021

Latitude: 40.8584, Longitude: -73.8658

Latitude: 40.81767, Longitude: -73.8899

Latitude: 40.8663, Longitude: -73.82304

Latitude: 40.84678, Longitude: -73.90422

Latitude: 40.8461, Longitude: -73.9156

Latitude: 40.88524, Longitude: -73.85477

Latitude: 40.80115, Longitude: -73.91567

Latitude: 40.84394, Longitude: -73.88712

Latitude: 40.86466, Longitude: -73.89957

Latitude: 40.80097, Longitude: -73.91421

Latitude: 40.80242, Longitude: -73.91383

Latitude: 40.80509, Longitude: -73.84952

Latitude: 40.86648, Longitude: -73.8888

Latitude: 40.85375, Longitude: -73.85185

Latitude: 40.83705, Longitude: -73.83509

Latitude: 40.84576, Longitude: -73.92327

Latitude: 40.83084, Longitude: -73.92115

Latitude: 40.85762, Longitude: -73.88552

Latitude: 40.81277, Longitude: -73.88679

Latitude: 40.81266, Longitude: -73.88689

Latitude: 40.81973, Longitude: -73.91405

Latitude: 40.83706, Longitude: -73.8582

Latitude: 40.8379, Longitude: -73.85578

Latitude: 40.82932, Longitude: -73.92753

Latitude: 40.89318, Longitude: -73.84077

Latitude: 40.84154, Longitude: -73.91022

Latitude: 40.83349, Longitude: -73.91017

Latitude: 40.8127, Longitude: -73.90988

Latitude: 40.81669, Longitude: -73.82257

Latitude: 40.80528, Longitude: -73.92515

Latitude: 40.80912, Longitude: -73.93095

Latitude: 40.80893, Longitude: -73.93111

Latitude: 40.85416, Longitude: -73.9017

Latitude: 40.88488, Longitude: -73.91363

Latitude: 40.80893, Longitude: -73.93111

Latitude: 40.82403, Longitude: -73.9157

Latitude: 40.84429, Longitude: -73.91137

Latitude: 40.87226, Longitude: -73.87585

Latitude: 40.82596, Longitude: -73.91585

Latitude: 40.86091, Longitude: -73.90002

Latitude: 40.85603, Longitude: -73.86517

Latitude: 40.90436, Longitude: -73.84992

Latitude: 40.82257, Longitude: -73.91594

Latitude: 40.86369, Longitude: -73.90358

Latitude: 40.80871, Longitude: -73.92976

Latitude: 40.82903, Longitude: -73.92129

Latitude: 40.87002, Longitude: -73.88255

Latitude: 40.82598, Longitude: -73.81935

Latitude: 40.88151, Longitude: -73.8494

Latitude: 40.88443, Longitude: -73.89802

Latitude: 40.8437, Longitude: -73.90743

Latitude: 40.83097, Longitude: -73.93136

Latitude: 40.842, Longitude: -73.90705

Latitude: 40.82763, Longitude: -73.82102

Latitude: 40.86339, Longitude: -73.89625

Latitude: 40.86729, Longitude: -73.85113

Latitude: 40.84279, Longitude: -73.90963

Latitude: 40.84166, Longitude: -73.89798

Latitude: 40.90396, Longitude: -73.84868

Latitude: 40.87996, Longitude: -73.83626

Latitude: 40.83109, Longitude: -73.89519

Latitude: 40.8357, Longitude: -73.90998

Latitude: 40.87885, Longitude: -73.85676

Latitude: 40.88654, Longitude: -73.90791

Latitude: 40.87019, Longitude: -73.90522

Latitude: 40.87748, Longitude: -73.85336

Latitude: 40.86684, Longitude: -73.88782

Latitude: 40.84196, Longitude: -73.90571

Latitude: 40.85713, Longitude: -73.84458

Latitude: 40.84136, Longitude: -73.85539

Latitude: 40.828, Longitude: -73.90573

Latitude: 40.87043, Longitude: -73.87704

Latitude: 40.83702, Longitude: -73.86175

Latitude: 40.88428, Longitude: -73.89644

Latitude: 40.81297, Longitude: -73.902

Latitude: 40.86237, Longitude: -73.85278

Latitude: 40.81433, Longitude: -73.90256

Latitude: 40.85216, Longitude: -73.90152

Latitude: 40.84862, Longitude: -73.78813

Latitude: 40.82779, Longitude: -73.84877

Latitude: 40.81045, Longitude: -73.9242

Latitude: 40.84103, Longitude: -73.84629

Latitude: 40.85393, Longitude: -73.88571

Latitude: 40.8469, Longitude: -73.90022

Latitude: 40.8609, Longitude: -73.85385

Latitude: 40.82752, Longitude: -73.92176

Latitude: 40.85263, Longitude: -73.92175

Latitude: 40.80854, Longitude: -73.92267

