,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
17022,32785169,2 Bedroom Refuge w/ Private Bath & Living Room,20433973,Julia,Bronx,City Island,40.83782,-73.78332,Private room,135,1,31,2022-08-23,0.74,2,334,6,,
17036,32790345,Private cozy room By Yankee stadium,246666261,Jovid,Bronx,Claremont Village,40.84406,-73.91108,Private room,95,1,19,2022-08-16,0.46,1,364,5,,
17040,32798710,TW #5 Private Rm- 1st Fl. Queen Bed  1 to 2 Guests,211136294,Erika And Sharon,Bronx,Schuylerville,40.83738,-73.83535,Private room,70,1,48,2020-04-18,1.18,6,0,0,,
17041,32799550,Rm#7 Private Room Full Size Bed 1 Guest Only,211136294,Erika And Sharon,Bronx,Schuylerville,40.83763,-73.83511,Private room,58,2,62,2022-01-31,1.5,6,125,12,,
17053,32801214,TW #6 Queen Bed plus Double Day Bed 1 to 3 Guests,211136294,Erika And Sharon,Bronx,Schuylerville,40.83606,-73.83504,Private room,86,1,164,2022-08-23,3.96,6,243,49,,
17063,32818383,Cozy clean quiet room with lock and key #1,146132198,Ronald And Cookie,Bronx,Wakefield,40.89552,-73.85681,Private room,60,2,128,2022-08-22,3.02,3,66,41,,
17064,32819286,"Simple,clean,cozy room with lock and key #2 ,",146132198,Ronald And Cookie,Bronx,Wakefield,40.89429,-73.85867,Private room,60,2,98,2022-08-18,2.3,3,67,37,,
17089,32822093,1 Bedroom Oasis,8978839,Edgar,Bronx,Pelham Gardens,40.8634,-73.84741,Entire home/apt,170,1,1,2022-09-05,1.0,1,362,1,,
17246,32940047,"Bright, spacious bedroom with adjacent study",97853468,Steven,Bronx,Hunts Point,40.81767,-73.8899,Private room,70,14,13,2022-07-31,0.39,3,69,7,,
17247,32940382,"Cozy room in bright, spacious apartment",97853468,Steven,Bronx,Hunts Point,40.81767,-73.8899,Private room,43,30,18,2022-05-28,0.48,3,338,6,,
