Latitude: 40.64702092952191, Longitude: -74.0862807342707

Latitude: 40.6463804, Longitude: -74.0820349

Latitude: 40.52033966288596, Longitude: -74.20516033932735

Latitude: 40.5427340457317, Longitude: -74.14899581534996

Latitude: 40.57892610214373, Longitude: -74.1082392831035

Latitude: 40.632378144434114, Longitude: -74.10543870224568

Latitude: 40.6389659, Longitude: -74.08019929999999

Latitude: 40.62510292964535, Longitude: -74.16164764201709

Latitude: 40.63354771289948, Longitude: -74.09185820075845

Latitude: 40.54677700031456, Longitude: -74.17658943312207

Latitude: 40.61289298546372, Longitude: -74.07344524831959

Latitude: 40.63444, Longitude: -74.16749

Latitude: 40.54356193952624, Longitude: -74.16831749751803

Latitude: 40.56489025529038, Longitude: -74.10195769313273

Latitude: 40.645696224598495, Longitude: -74.08505083541029

Latitude: 40.63925069561793, Longitude: -74.07636668649945

Latitude: 40.65432, Longitude: -74.18867

Latitude: 40.6613, Longitude: -74.12171

Latitude: 40.6556004, Longitude: -74.1256935

Latitude: 40.651580866802064, Longitude: -74.18716885755727

Latitude: 40.57654, Longitude: -74.22076

Latitude: 40.57346, Longitude: -74.22223

Latitude: 40.65834381191455, Longitude: -74.19499226251821

Latitude: 40.65664, Longitude: -74.12318

Latitude: 40.62794223229093, Longitude: -74.12725011175917

Latitude: 40.65297, Longitude: -74.12552

Latitude: 40.65483, Longitude: -74.20312

Latitude: 40.64722, Longitude: -74.13263

Latitude: 40.654968769272784, Longitude: -74.19543944299221

Latitude: 40.57294, Longitude: -74.22497

Latitude: 40.64221, Longitude: -74.21398

Latitude: 40.65152, Longitude: -74.18849

Latitude: 40.65493163316512, Longitude: -74.19545587152243

Latitude: 40.65042, Longitude: -74.19295

Latitude: 40.64754, Longitude: -74.13226

Latitude: 40.65702, Longitude: -74.12148

Latitude: 40.65302, Longitude: -74.18117

Latitude: 40.64823, Longitude: -74.13919

Latitude: 40.61600933964295, Longitude: -74.0753071888444

Latitude: 40.65458, Longitude: -74.19657

Latitude: 40.65161, Longitude: -74.18901

Latitude: 40.571404, Longitude: -74.226204

Latitude: 40.65518, Longitude: -74.12044

Latitude: 40.51111485043992, Longitude: -74.2610313403968

Latitude: 40.65871, Longitude: -74.12993

Latitude: 40.65165, Longitude: -74.18812

Latitude: 40.65242647271042, Longitude: -74.18659511855826

Latitude: 40.57507, Longitude: -74.21991

Latitude: 40.6586, Longitude: -74.12368

Latitude: 40.52339, Longitude: -74.26564

Latitude: 40.59941, Longitude: -74.17776

Latitude: 40.65406, Longitude: -74.12718

Latitude: 40.65492629150632, Longitude: -74.19545721262693

Latitude: 40.6602, Longitude: -74.12342

Latitude: 40.65749, Longitude: -74.12694

Latitude: 40.5187, Longitude: -74.26952

Latitude: 40.65411, Longitude: -74.12767

Latitude: 40.65168, Longitude: -74.19554

Latitude: 40.65384, Longitude: -74.11901

Latitude: 40.6559, Longitude: -74.12504

Latitude: 40.65627, Longitude: -74.18785

Latitude: 40.65678, Longitude: -74.12835

Latitude: 40.65181, Longitude: -74.19311

Latitude: 40.52512, Longitude: -74.26675

Latitude: 40.65611, Longitude: -74.18859

Latitude: 40.65826, Longitude: -74.1326

Latitude: 40.64601693375988, Longitude: -74.1285485147016

Latitude: 40.648197, Longitude: -74.132957

Latitude: 40.61067, Longitude: -74.08897

Latitude: 40.65614, Longitude: -74.12736

Latitude: 40.65628, Longitude: -74.12681

Latitude: 40.65277, Longitude: -74.12292

Latitude: 40.65766, Longitude: -74.12676

Latitude: 40.66018, Longitude: -74.11693

Latitude: 40.65494104407135, Longitude: -74.19545721262693

Latitude: 40.64923, Longitude: -74.13376

Latitude: 40.52371, Longitude: -74.26519

Latitude: 40.65328, Longitude: -74.18692

Latitude: 40.57905, Longitude: -74.22127

Latitude: 40.61391, Longitude: -74.08557

Latitude: 40.6554, Longitude: -74.12136

Latitude: 40.6496467, Longitude: -74.1924006

Latitude: 40.66475, Longitude: -74.11033

Latitude: 40.65629, Longitude: -74.12489

Latitude: 40.60944, Longitude: -74.0869

Latitude: 40.65925, Longitude: -74.19556

Latitude: 40.64987, Longitude: -74.19937

Latitude: 40.64999, Longitude: -74.19748

Latitude: 40.65638, Longitude: -74.12548

Latitude: 40.57606, Longitude: -74.22185

Latitude: 40.65831, Longitude: -74.13121

Latitude: 40.648869, Longitude: -74.196075

Latitude: 40.65065, Longitude: -74.19884

Latitude: 40.64936, Longitude: -74.13218

Latitude: 40.6096, Longitude: -74.08824

Latitude: 40.65475, Longitude: -74.18624

Latitude: 40.6583, Longitude: -74.12674

Latitude: 40.6532, Longitude: -74.12285

Latitude: 40.65329, Longitude: -74.18147

