Latitude: 40.67112, Longitude: -73.74615

Latitude: 40.75579, Longitude: -73.91767

Latitude: 40.74801, Longitude: -73.94028

Latitude: 40.69389, Longitude: -73.83256

Latitude: 40.71527, Longitude: -73.89829

Latitude: 40.72199, Longitude: -73.76795

Latitude: 40.77249, Longitude: -73.91689

Latitude: 40.77743, Longitude: -73.91446

Latitude: 40.74566, Longitude: -73.88326

Latitude: 40.7576, Longitude: -73.9067

Latitude: 40.73682, Longitude: -73.875

Latitude: 40.72027, Longitude: -73.79873

Latitude: 40.70915, Longitude: -73.78744

Latitude: 40.76415, Longitude: -73.8071

Latitude: 40.77051, Longitude: -73.9204

Latitude: 40.77461, Longitude: -73.91525

Latitude: 40.76489, Longitude: -73.91592

Latitude: 40.71858, Longitude: -73.75411

Latitude: 40.66198, Longitude: -73.77019

Latitude: 40.76138, Longitude: -73.91855

Latitude: 40.73852, Longitude: -73.92531

Latitude: 40.76417, Longitude: -73.80739

Latitude: 40.76581, Longitude: -73.80569

Latitude: 40.72405, Longitude: -73.85366

Latitude: 40.73329, Longitude: -73.89463

Latitude: 40.68952, Longitude: -73.79788

Latitude: 40.72651, Longitude: -73.85331

Latitude: 40.77096, Longitude: -73.90857

Latitude: 40.75797, Longitude: -73.91221

Latitude: 40.70619, Longitude: -73.89749

Latitude: 40.74225, Longitude: -73.95319

Latitude: 40.76867, Longitude: -73.91245

Latitude: 40.77211, Longitude: -73.92055

Latitude: 40.74495, Longitude: -73.92422

Latitude: 40.74343, Longitude: -73.91865

Latitude: 40.77201, Longitude: -73.92197

Latitude: 40.76064, Longitude: -73.92155

Latitude: 40.77464, Longitude: -73.91062

Latitude: 40.75298, Longitude: -73.88987

Latitude: 40.76994, Longitude: -73.91841

Latitude: 40.70836, Longitude: -73.83025

Latitude: 40.76125, Longitude: -73.91008

Latitude: 40.74769, Longitude: -73.94458

Latitude: 40.7592, Longitude: -73.9247

Latitude: 40.74629, Longitude: -73.94493

Latitude: 40.75738, Longitude: -73.91843

Latitude: 40.751447088934434, Longitude: -73.82805880576915

Latitude: 40.72247, Longitude: -73.84549

Latitude: 40.74514, Longitude: -73.95295

Latitude: 40.76222, Longitude: -73.92417

Latitude: 40.7711, Longitude: -73.92843

Latitude: 40.76459, Longitude: -73.80725

Latitude: 40.74024, Longitude: -73.92428

Latitude: 40.68247, Longitude: -73.84368

Latitude: 40.75579, Longitude: -73.82792

Latitude: 40.71734, Longitude: -73.87805

Latitude: 40.70465, Longitude: -73.89909

Latitude: 40.74689, Longitude: -73.94634

Latitude: 40.77846, Longitude: -73.91599

Latitude: 40.76222, Longitude: -73.91011

Latitude: 40.7486, Longitude: -73.8877

Latitude: 40.73848, Longitude: -73.92852

Latitude: 40.76419, Longitude: -73.93449

Latitude: 40.76074, Longitude: -73.9233

Latitude: 40.73957, Longitude: -73.85553

Latitude: 40.74829, Longitude: -73.94083

Latitude: 40.68637, Longitude: -73.77535

Latitude: 40.75664, Longitude: -73.86762

Latitude: 40.75376, Longitude: -73.82859

Latitude: 40.73994, Longitude: -73.87345

Latitude: 40.68826, Longitude: -73.80384

Latitude: 40.69054, Longitude: -73.7758

Latitude: 40.73189, Longitude: -73.85224

Latitude: 40.73871, Longitude: -73.92499

Latitude: 40.73128, Longitude: -73.80742

Latitude: 40.67044, Longitude: -73.75455

Latitude: 40.74512, Longitude: -73.92329

Latitude: 40.75745, Longitude: -73.92942

Latitude: 40.75619, Longitude: -73.91881

Latitude: 40.71865, Longitude: -73.88238

Latitude: 40.75949, Longitude: -73.91922

Latitude: 40.59508, Longitude: -73.7782

Latitude: 40.73989, Longitude: -73.92313

Latitude: 40.77613, Longitude: -73.9104

Latitude: 40.76301, Longitude: -73.91295

Latitude: 40.74286, Longitude: -73.91635

Latitude: 40.74537, Longitude: -73.83252

